Date,700.HK,175.HK
2021/4/14,618.889,19.7195
2021/4/15,615.416,19.8664
2021/4/16,627.33,21.2817
2021/4/19,622.373,22.3063
2021/4/20,617.904,22.5509
2021/4/21,604.497,21.9651
2021/4/22,616.411,21.5746
2021/4/23,627.33,21.6722
2021/4/26,623.856,21.0371
2021/4/27,620.382,20.9887
2021/4/28,623.358,20.1593
2021/4/29,626.832,20.4522
2021/4/30,618.402,19.6712
2021/5/3,619.885,19.3289
2021/5/4,617.406,19.5735
2021/5/5,605.99,19.5735
2021/5/6,605.99,19.2905
2021/5/7,595.569,18.7628
2021/5/10,590.602,18.7431
2021/5/11,580.181,17.5528
2021/5/12,594.076,17.9236
2021/5/13,575.712,17.2598
2021/5/14,578.688,17.1622
2021/5/17,596.067,17.8062
2021/5/18,603.014,17.8644
2021/5/20,604.497,18.6258
2021/5/21,584.153,18.7431
2021/5/24,582.759,18.4315
2021/5/25,607.145,19.0163
2021/5/26,615.107,19.2313
2021/5/27,602.666,19.251
2021/5/28,598.684,19.3891
2021/5/31,616.102,19.468
2021/6/1,625.06,19.9217
2021/6/2,625.558,21.1051
2021/6/3,612.619,20.6613
2021/6/4,608.638,21.9434
2021/6/7,597.689,20.8093
2021/6/8,598.187,21.1051
2021/6/9,600.177,21.4503
2021/6/10,597.689,21.6969
2021/6/11,593.21,21.7462
2021/6/15,597.191,22.7817
2021/6/16,593.708,21.8448
2021/6/17,596.196,22.4858
2021/6/18,600.177,23.6693
2021/6/21,587.736,24.7048
2021/6/22,570.815,24.6062
2021/6/23,579.773,26.0362
2021/6/24,580.271,25.7404
2021/6/25,595.698,25.691
2021/6/28,592.712,25.1486
2021/6/29,587.736,24.9514
2021/6/30,581.266,24.1131
2021/7/2,571.811,22.9789
2021/7/5,551.407,24.2117
2021/7/6,556.383,23.9158
2021/7/7,545.932,23.7186
2021/7/8,525.528,23.8172
2021/7/9,535.979,23.3241
2021/7/12,531.998,23.8172
2021/7/13,552.9,25.05
2021/7/14,553.895,24.409
2021/7/15,562.355,24.0145
2021/7/16,561.36,24.0145
2021/7/19,546.928,23.3734
2021/7/20,539.961,22.5844
2021/7/21,535.482,23.0776
2021/7/22,541.453,23.62
2021/7/23,528.514,23.3734
2021/7/26,487.706,23.0776
2021/7/27,443.912,22.4365
2021/7/28,445.107,23.4227
2021/7/29,489.697,25.1979
2021/7/30,476.758,25.5924
2021/8/2,472.776,26.3814
2021/8/3,443.912,26.48
2021/8/4,454.662,27.8114
2021/8/5,436.945,27.6635
2021/8/6,451.477,26.9238
2021/8/9,459.439,26.6773
2021/8/10,483.924,27.0224
2021/8/11,481.734,27.91
2021/8/12,479.744,28.5018
2021/8/13,467.999,28.058
2021/8/16,451.676,26.1842
2021/8/17,432.964,25.2472
2021/8/18,434.158,25.8883
2021/8/19,419.228,26.4307
2021/8/20,423.409,25.3952
2021/8/23,431.769,25.2472
2021/8/24,469.791,25.05
2021/8/25,472.378,25.1486
2021/8/26,469.591,24.8034
2021/8/27,464.217,25.4445
2021/8/30,463.62,26.5293
2021/8/31,478.947,27.7128
2021/9/1,486.114,27.2197
2021/9/2,493.678,27.7128
2021/9/3,485.716,27.0224
2021/9/6,502.636,27.5649
2021/9/7,513.087,28.2552
2021/9/8,522.045,27.3676
2021/9/9,477.753,26.7266
2021/9/10,487.706,26.7759
2021/9/13,475.762,26.4307
2021/9/14,470.587,26.1348
2021/9/15,451.278,26.0362
2021/9/16,448.889,24.7541
2021/9/17,459.638,25.3952
2021/9/20,452.074,23.9158
2021/9/21,447.894,24.0638
2021/9/23,461.032,22.831
2021/9/24,458.046,22.6831
2021/9/27,462.425,21.6475
2021/9/28,467.601,22.1406
2021/9/29,462.823,22.2393
2021/9/30,459.24,22.042
2021/10/4,454.861,21.6969
2021/10/5,447.894,21.7462
2021/10/6,444.31,21.2037
2021/10/7,469.193,21.7462
2021/10/8,479.545,21.8941
2021/10/11,493.678,22.3872
2021/10/12,480.938,22.2886
2021/10/15,493.28,24.0638
2021/10/18,494.673,24.4583
2021/10/19,496.664,25.0007
2021/10/20,507.115,26.2335
2021/10/21,503.134,25.7404
2021/10/22,507.115,26.3321
2021/10/25,502.636,26.5786
2021/10/26,499.65,26.6773
2021/10/27,484.72,26.1842
2021/10/28,485.915,25.9869
2021/10/29,478.748,26.6773
2021/11/1,467.402,25.7404
2021/11/2,461.828,25.839
2021/11/3,466.805,25.2966
2021/11/4,478.549,25.839
2021/11/5,465.212,26.1348
2021/11/8,461.629,25.05
2021/11/9,461.828,25.691
2021/11/10,481.336,25.2472
2021/11/11,475.364,25.4938
2021/11/12,482.929,25.0007
2021/11/15,489.498,24.9514
2021/11/16,500.148,25.9869
2021/11/17,506.617,26.4307
2021/11/18,494.474,25.9376
2021/11/19,493.678,25.6417
2021/11/22,492.086,26.7266
2021/11/23,478.947,25.9376
2021/11/24,469.99,25.0007
2021/11/25,475.563,25.05
2021/11/26,461.231,24.3596
2021/11/29,460.235,23.62
2021/11/30,457.25,22.831
2021/12/1,466.606,22.6831
2021/12/2,471.383,22.7817
2021/12/3,460.435,22.7324
2021/12/6,445.704,21.9434
2021/12/7,461.629,22.9296
2021/12/8,464.814,23.1762
2021/12/9,470.388,23.9158
2021/12/10,461.231,23.8665
2021/12/13,464.416,23.472
2021/12/14,457.648,22.7817
2021/12/15,453.666,22.4858
2021/12/16,450.481,22.6831
2021/12/17,435.95,22.0913
2021/12/20,427.987,21.6475
2021/12/21,438.737,21.7462
2021/12/22,440.926,21.8941
2021/12/23,459.638,22.042
2021/12/24,458.046,21.6475
2021/12/28,448.292,20.8093
2021/12/29,442.718,20.6613
2021/12/30,441.324,20.5627
2021/12/31,454.662,21.0065
